github.com/AlDanial/cloc v 2.04  T=0.65 s (875.0 files/s, 347565.0 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                      blank        comment           code
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
./GameSpace/wwwroot/lib/sb-admin/css/styles.css                                                                                             781             39          10423
./GameSpace/wwwroot/lib/bootstrap/dist/css/bootstrap.rtl.css                                                                               1735              7           9455
./GameSpace/wwwroot/lib/bootstrap/dist/css/bootstrap.css                                                                                   1741             27           9453
./GameSpace/obj/project.assets.json                                                                                                           0              0           8610
./GameSpace/wwwroot/font-awesome/css/all.css                                                                                               2586             19           8046
./My_Own_Source_Of_Data/database.json                                                                                                         0              0           7593
./GameSpace/wwwroot/font-awesome/js/all.js                                                                                                  109            117           7483
./GameSpace/wwwroot/lib/jquery/dist/jquery.js                                                                                              2075           1910           6896
./GameSpace/wwwroot/font-awesome/css/fontawesome.css                                                                                       2030             17           6302
./GameSpace/GameSpace.Api/obj/project.assets.json                                                                                             0              0           5398
./GameSpace/wwwroot/lib/bootstrap/dist/js/bootstrap.bundle.js                                                                              1350            584           4846
./GameSpace/GameSpace.Infrastructure/obj/project.assets.json                                                                                  0              0           4338
./GameSpace/GameSpace.Core/obj/project.assets.json                                                                                            0              0           4319
./GameSpace/GameSpace.Data/obj/project.assets.json                                                                                            0              0           4286
./GameSpace/wwwroot/font-awesome/sprites/solid.svg                                                                                            0              5           4224
./GameSpace/wwwroot/lib/bootstrap/dist/css/bootstrap-grid.css                                                                              1135              7           3855
./GameSpace/wwwroot/lib/bootstrap/dist/css/bootstrap-grid.rtl.css                                                                          1134              7           3855
./GameSpace/wwwroot/lib/bootstrap/dist/css/bootstrap-utilities.css                                                                         1128              9           3729
./GameSpace/wwwroot/lib/bootstrap/dist/css/bootstrap-utilities.rtl.css                                                                     1125              7           3725
./GameSpace/wwwroot/font-awesome/js/fontawesome.js                                                                                           64             81           3468
./GameSpace/wwwroot/lib/bootstrap/dist/js/bootstrap.js                                                                                     1068            501           3457
./GameSpace/wwwroot/lib/bootstrap/dist/js/bootstrap.esm.js                                                                                 1064            495           3418
./GameSpace/Models/GameSpaceDatabaseContext.cs                                                                                              411             22           2457
./GameSpace/wwwroot/font-awesome/css/v4-shims.css                                                                                           623              5           2190
./GameSpace/wwwroot/font-awesome/js/solid.js                                                                                                 15             17           2049
./GameSpace/wwwroot/font-awesome/css/brands.css                                                                                             550              5           1664
./GameSpace/GameSpace.Core/bin/Release/net8.0/GameSpace.Core.deps.json                                                                        0              0           1570
./GameSpace/GameSpace.Data/bin/Debug/net8.0/GameSpace.Data.deps.json                                                                          0              0           1553
./GameSpace/wwwroot/font-awesome/sprites/brands.svg                                                                                           0              5           1542
./GameSpace/wwwroot/lib/jquery-validation/dist/jquery.validate.js                                                                           244            189           1228
./GameSpace/wwwroot/font-awesome/js/conflict-detection.js                                                                                    36            189           1210
./GameSpace/Services/Seeding/SeedDataRunner.cs                                                                                              247             42           1166
./GameSpace/wwwroot/font-awesome/js/brands.js                                                                                                15             17           1155
./GameSpace/reports/_latest/todo_scan.txt                                                                                                     0              0            927
./GameSpace/wwwroot/lib/jquery-validation/dist/additional-methods.js                                                                        202            453            857
./My_Own_Source_Of_Data/index.txt                                                                                                            67              0            813
./GameSpace/wwwroot/font-awesome/js/regular.js                                                                                               15             17            811
./My_Own_Source_Of_Data/old_0905.txt                                                                                                          2              0            692
./GameSpace/wwwroot/lib/sb-admin/index.html                                                                                                   0              4            683
./GameSpace/reports/file_tree.txt                                                                                                             1              0            653
./GameSpace/wwwroot/lib/sb-admin/tables.html                                                                                                  0              4            630
./GameSpace/wwwroot/font-awesome/js/v4-shims.js                                                                                              13             11            623
./reports/_latest/todo_scan.txt                                                                                                               0              0            575
./reports/_latest/cloc.txt                                                                                                                    0              0            511
./GameSpace/wwwroot/font-awesome/sprites/regular.svg                                                                                          0              5            510
./GameSpace/docs/_archive/20250913-1423/AUDIT.md                                                                                             83              0            488
./GameSpace/reports/_latest/cloc.txt                                                                                                          0              0            486
./GameSpace/wwwroot/font-awesome/css/svg-with-js.css                                                                                         58             15            481
./project-docs/_archive/20250914-0214/PERF_NOTES.md                                                                                         104              3            476
./project-docs/_archive/20250914-0214/TESTING_POLICY.md                                                                                      93              1            422
./project-docs/_archive/20250914-0214/OPERATIONS.md                                                                                          98              1            388
./GameSpace/GameSpace.Api/obj/GameSpace.Api.csproj.nuget.dgspec.json                                                                          0              0            373
./GameSpace/Views/Wallet/Index.cshtml                                                                                                        30             15            363
./GameSpace/wwwroot/lib/bootstrap/dist/css/bootstrap-reboot.rtl.css                                                                          63              8            353
./GameSpace/Views/Friendship/Groups.cshtml                                                                                                   26             11            349
./GameSpace/Services/WalletService.cs                                                                                                        55             44            348
./GameSpace/wwwroot/lib/bootstrap/dist/css/bootstrap-reboot.css                                                                              64             16            347
./GameSpace/Views/Notification/Index.cshtml                                                                                                  21             12            321
./GameSpace/GameSpace.Api/Controllers/CommunityController.cs                                                                                 25             60            320
./GameSpace/Views/Chat/Conversation.cshtml                                                                                                   27             16            319
./GameSpace/Views/Admin/Index.cshtml                                                                                                         13             21            316
./GameSpace/Controllers/WalletController.cs                                                                                                  53             60            314
./GameSpace/obj/Release/net8.0/GameSpace.GeneratedMSBuildEditorConfig.editorconfig                                                           94              0            309
./GameSpace/wwwroot/lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.js                                                         53             76            306
./GameSpace/Services/GameHeatTrackingService.cs                                                                                              38             45            292
./GameSpace/GameSpace.Infrastructure/obj/GameSpace.Infrastructure.csproj.nuget.dgspec.json                                                    0              0            291
./GameSpace/Views/Home/Index.cshtml                                                                                                          22              4            289
./GameSpace/Views/Shared/_Layout.cshtml                                                                                                      35             18            280
./GameSpace/docs/_archive/20250913-1423/WIP.md                                                                                               34              0            279
./reports/_latest/todo_grep.txt                                                                                                               0              0            274
./GameSpace/Views/Friendship/Index.cshtml                                                                                                    27             13            273
./My_Own_Source_Of_Data/new_0905.txt                                                                                                        259              0            273
./GameSpace/GameSpace.Models/AdditionalReadModel.cs                                                                                          24             72            271
./GameSpace/Views/Admin/Monitoring.cshtml                                                                                                    12             17            268
./GameSpace/Controllers/FriendshipController.cs                                                                                              56             44            266
./GameSpace/GameSpace.Infrastructure/Seeders/SeedDataRunner.cs                                                                               41              2            265
./GameSpace/wwwroot/lib/social_hub/js/chat-1to1.js                                                                                           32             23            265
./GameSpace/Controllers/Admin/RBACController.cs                                                                                              34             39            263
./GameSpace/Controllers/OAuthController.cs                                                                                                   47             65            260
./GameSpace/GameSpace.Infrastructure/Repositories/UserWriteRepository.cs                                                                     35             40            260
./GameSpace/Views/Home/Dashboard.cshtml                                                                                                      11             11            257
./GameSpace/Views/Game/Index.cshtml                                                                                                          37             13            255
./project-docs/_archive/20250914-0214/OPTIMIZATION_GUIDE.md                                                                                  82              0            254
./GameSpace/Views/Friendship/Requests.cshtml                                                                                                 17              9            246
./GameSpace/Views/Admin/Orders.cshtml                                                                                                        13             10            240
./GameSpace/Controllers/ChatController.cs                                                                                                    47             38            233
./GameSpace/Views/Shop/Cart.cshtml                                                                                                           23              6            231
./project-docs/_archive/20250914-0214/PROJECT_SUMMARY.md                                                                                     48              0            230
./GameSpace/Views/Chat/Index.cshtml                                                                                                          21             11            226
./GameSpace/GameSpace.Api/Controllers/CommerceController.cs                                                                                  16             45            224
./GameSpace/Views/Shop/MyOrders.cshtml                                                                                                       18              4            223
./GameSpace/Views/CheckIn/Index.cshtml                                                                                                       22             12            222
./GameSpace/Views/Coupon/Index.cshtml                                                                                                        21             11            216
./GameSpace/Data/Migrations/00000000000000_CreateIdentitySchema.Designer.cs                                                                  65              1            211
./GameSpace/Services/RBACService.cs                                                                                                          31             53            211
./GameSpace/GameSpace.Core/obj/GameSpace.Core.csproj.nuget.dgspec.json                                                                        0              0            210
./GameSpace/Data/Migrations/ApplicationDbContextModelSnapshot.cs                                                                             65              1            209
